Institution,MSI Classification,Research Classification
Agnes Scott College,BSI,4Y
Armstrong State University,BSI,R2
Chicago State University,BSI,R2
Christian Brothers University,BSI,R2
Lehman College,BSI,R2
Lehman College,HSI,R2
CUNY York College,BSI,R2
Francis Marion University,BSI,R2
Frostburg State University,BSI,R2
Georgia Southern University,BSI,R2
Georgia State University,BSI,R1
Lamar University,BSI,R2
Notre Dame of Maryland University,BSI,R2
Old Dominion University,BSI,R1
Southern Arkansas University,BSI,R2
SUNY Buffalo State,BSI,R2
Troy University,BSI,R2
University of Alabama at Birmingham,BSI,R1
University of Memphis,BSI,R1
University of North Carolina at Greensboro,BSI,R2
University of North Carolina at Pembroke,BSI,R2
University of Southern Mississippi,BSI,R1
University of West Georgia,BSI,R2
Valdosta State University,BSI,R2